Sira,No,Enlem,Boylam,Mesafe (metre)
161,53301,38.696965,35.549865,2968.430252962831
162,53302,38.694522,35.543327,3408.874965032552
163,53303,38.684658,35.548597,2629.1272660877553
164,53304,38.694043,35.544144,3271.4040952118526
165,53305,38.69607,35.55042,2886.0215774458748
166,53306,38.69863,35.556363,2481.503833350827
167,53307,38.698618,35.556567,2481.503833350827
168,53308,38.70082,35.555635,2728.7390697513683
169,53309,38.70106,35.545238,4046.5811029767387
170,53301,38.694828,35.5678,1371.028553875995
171,53302,38.690428,35.570087,820.3238486470532
172,53303,38.686288,35.5757148,687.2475860826465
173,53913,38.709867,35.569257,3051.864971932093
174,53915,38.69809,35.552587,3087.610286758893
175,53917,38.710607,35.551047,3899.4752463442187
176,53919,38.704257,35.552485,3689.973454082078
177,55258,38.708167,35.567783,3108.5703484059427
178,55419,38.699074,35.55035,3211.14103472559
179,55421,38.712037,35.557532,3667.581355036533
180,55423,38.709595,35.570493,3185.993156576985
181,55425,38.716809,35.561488,4130.204194319877
182,55430,38.703363,35.551937,3470.125641687267
183,55431,38.700493,35.550245,3497.076422866745
184,55433,38.69799,35.549125,3159.589332375421
185,55438,38.705395,35.55054,4184.634319913866
186,55440,38.701915,35.557212,2638.194625165715
187,55442,38.701915,35.5575212,2638.194625165715
188,55444,38.691895,35.560675,1629.0500320601652
189,55446,38.695847,35.542625,3279.05526461932
190,55450,38.699323,35.542932,3690.757757518996
191,55450,38.709647,35.562843,3451.850916385122
192,55454,38.692715,35.548283,2814.988910225069
193,55454,38.690722,35.550908,2461.28382058937
194,55455,38.69727,35.545022,3339.4720899990857
195,55456,38.690117,35.549198,2572.516756818091
196,55457,38.687617,35.546893,2782.9986697002346
197,55459,38.685658,35.54717,2615.5623937843734
198,55460,38.685657,35.547985,2503.1352944986056
199,55461,38.687335,35.547272,2782.9986697002346
200,55462,38.685873,35.552527,2074.6549007761614
201,55474,38.685858,35.550913,2275.2299262146453
202,55476,38.691808,35.549808,2639.7655014777342
203,55527,38.69137,35.551563,2338.1690759973935
204,55529,38.687677,35.5552,1831.247748011106
205,55531,38.686935,35.554342,1998.1445410914343
206,55533,38.687603,35.553898,2071.393264042638
207,55535,38.686935,35.550313,2442.1905590201527
208,63499,38.695045,35.54513,3196.110824357079
209,63501,38.69535,35.547505,3087.6205286729837
210,63505,38.707312,35.5625252,2900.646261843126
211,63507,38.703813,35.564507,2508.3304382707256
212,63509,38.703185,35.564542,2465.8208061910177
213,63514,38.699894,35.563535,2220.1512180108193
214,63516,38.70002,35.543175,3712.2811325419552
215,63518,38.69142,35.553862,2315.0692140868196
216,63520,38.70045,35.538187,4231.143414434762
217,64565,38.702683,35.565215,2626.173624422967
218,64566,38.706033,35.565678,2828.667220473596
219,64567,38.69985,35.56541,1980.8241697429005
220,64569,38.699437,35.572653,1832.7652576067492
221,64570,38.711013,35.564305,4047.7364950557276
222,64575,38.707722,35.563567,2971.661821690143
223,64576,38.693437,35.550548,2664.390545199513
224,64586,38.699768,35.57058,2216.2527707961867
225,64587,38.699957,35.570798,2216.2527707961867
226,64588,38.707813,35.564575,3078.039856080362
227,64589,38.707297,35.566095,3035.6167280281616
228,64590,38.708528,35.558585,3258.8415129759474
229,64591,38.71426,35.55925,4021.3040004854797
230,64592,38.718083,35.555925,4489.086739082368
231,64593,38.70573,35.561447,2746.42473847607
232,64594,38.701888,35.572043,2238.1340886786224
233,68723,38.706474,35.569582,2721.0205203412756
234,68728,38.697621,35.546254,3379.2712672813122
235,68733,38.716555,35.559173,4215.118912690898
236,78920,38.684813,35.551763,2179.0843489651584
237,78921,38.692311,35.542481,3310.4010107489985
238,78922,38.691618,35.546763,2921.7427724487034
239,79157,38.696029,35.54535,3136.634884418497
240,79159,38.714675,35.558583,3953.8417151164244
